"ID","species","latitude","longitude","reference","trees","elevation","LL","UL"
1684,"Shorea robusta",30.0313,78.1482,"Kaur2023",0.903400003910065,470,300,1500
1693,"Shorea robusta",30.1591,77.9328,"Kaur2023",0.976899981498718,460,300,1500
1699,"Shorea robusta",29.8839,78.3211,"Kaur2023",1,461,300,1500
1707,"Shorea robusta",29.4935,79.1376,"Kaur2023",0.542500019073486,508,300,1500
1708,"Shorea robusta",29.4564,79.2281,"Kaur2023",0.998499989509583,676,300,1500
1714,"Shorea robusta",29.3,79.53,"Kaur2023",1,979,300,1500
1720,"Shorea robusta",29.93358333,78.71938889,"Sharma2018",0.864499986171722,882,300,1500
1722,"Taxus wallichiana",32.93,76.17,"Paul2019",0.835600018501282,2703,2000,3500
1723,"Taxus wallichiana",31.79916667,77.31638889,"Sharma2013",0.753199994564056,2147,2000,3500
1726,"Taxus wallichiana",30.45319444,79.24163889,"Shekhar2022",0.878499984741211,2621,2000,3500
1727,"Taxus wallichiana",30.52397222,79.56494444,"Shekhar2022",0.816100001335144,2915,2000,3500
1730,"Taxus wallichiana",31.07233611,77.94200556,"Shekhar2022",0.986500024795532,2708,2000,3500
1731,"Taxus wallichiana",30.74791111,77.86611944,"Shekhar2022",0.855799973011017,2804,2000,3500
1732,"Taxus wallichiana",30.05176389,79.10280833,"Shekhar2022",0.888700008392334,2525,2000,3500
1733,"Taxus wallichiana",30.06418889,80.21253889,"Shekhar2022",0.880200028419495,3094,2000,3500
1735,"Taxus wallichiana",30.029925,80.648575,"Shekhar2022",0.978600025177002,2922,2000,3500
1736,"Taxus wallichiana",30.49469444,78.94639444,"Shekhar2022",0.971700012683868,2441,2000,3500
1739,"Taxus wallichiana",30.58561111,78.141525,"Shekhar2022",0.919200003147125,2571,2000,3500
1740,"Taxus wallichiana",30.68152778,78.67266667,"Shekhar2022",0.870999991893768,2810,2000,3500
1741,"Taxus wallichiana",30.67439167,78.83944444,"Shekhar2022",0.947300016880035,2907,2000,3500
1742,"Taxus wallichiana",30.75648333,78.21083056,"Shekhar2022",0.992399990558624,2602,2000,3500
1743,"Taxus wallichiana",30.66483333,78.50488889,"Shekhar2022",0.998799979686737,2548,2000,3500
1745,"Taxus wallichiana",30.84122222,78.66033333,"Shekhar2022",0.995999991893768,2776,2000,3500
1747,"Taxus wallichiana",31.80753333,77.51153333,"Singh2021",0.797999978065491,3378,2000,3500
1748,"Taxus wallichiana",31.86341667,77.42268333,"Singh2021",0.891300022602081,3065,2000,3500
1761,"Taxus wallichiana",30.8265,78.55905556,"Tiwari2018",0.672100007534027,3244,2000,3500
